number,generated_file,original_file,capture_date,display_date,width,height,optimized_bytes,thumbnail_bytes
74,bgfs-0074.jpg,IMG_20260320_065142.jpg,2026-03-20,"March 20, 2026",2400,1802,963176,80886
75,bgfs-0075.jpg,IMG_20260320_064855.jpg,2026-03-20,"March 20, 2026",2400,1802,602762,59563
76,bgfs-0076.jpg,IMG_20260320_173617.jpg,2026-03-20,"March 20, 2026",2400,1802,775925,81348
77,bgfs-0077.jpg,IMG_20260320_093229.jpg,2026-03-20,"March 20, 2026",2400,1802,875948,89766
78,bgfs-0078.jpg,IMG_20260319_082853.jpg,2026-03-19,"March 19, 2026",1802,2400,1369907,113056
79,bgfs-0079.jpg,IMG_20260318_182924.jpg,2026-03-18,"March 18, 2026",1802,2400,838221,57594
80,bgfs-0080.jpg,IMG_20260318_183548.jpg,2026-03-18,"March 18, 2026",2400,1802,803857,69583
81,bgfs-0081.jpg,IMG_20260318_075147.jpg,2026-03-18,"March 18, 2026",1802,2400,1036943,88151
82,bgfs-0082.jpg,IMG_20260318_092701.jpg,2026-03-18,"March 18, 2026",2400,1802,1018468,95980
83,bgfs-0083.jpg,IMG_20260318_072101.jpg,2026-03-18,"March 18, 2026",1802,2400,839416,77146
84,bgfs-0084.jpg,IMG_20260315_120547.jpg,2026-03-15,"March 15, 2026",2400,1802,1327181,109219
85,bgfs-0085.jpg,IMG_20260315_093128__01.jpg,2026-03-15,"March 15, 2026",1802,2400,1413751,132712
86,bgfs-0086.jpg,IMG_20260315_120159.jpg,2026-03-15,"March 15, 2026",1802,2400,1234734,117955
87,bgfs-0087.jpg,IMG_20260315_115903.jpg,2026-03-15,"March 15, 2026",1802,2400,1118803,103229
88,bgfs-0088.jpg,IMG_20260315_094108.jpg,2026-03-15,"March 15, 2026",1802,2400,1435968,126049
89,bgfs-0089.jpg,IMG_20260301_101754.jpg,2026-03-01,"March 1, 2026",1800,2400,930073,69015
90,bgfs-0090.jpg,IMG_20260228_142937.jpg,2026-02-28,"February 28, 2026",1802,2400,754807,94183
91,bgfs-0091.jpg,IMG_20260228_135036.jpg,2026-02-28,"February 28, 2026",2400,1802,932642,86720
92,bgfs-0092.jpg,IMG_20260227_174041.jpg,2026-02-27,"February 27, 2026",1802,2400,873947,86451
93,bgfs-0093.jpg,IMG_20260227_120241.jpg,2026-02-27,"February 27, 2026",1802,2400,1177547,91929
94,bgfs-0094.jpg,IMG_20260227_135515.jpg,2026-02-27,"February 27, 2026",1800,2400,675471,100303
95,bgfs-0095.jpg,IMG_20260225_130755.jpg,2026-02-25,"February 25, 2026",1802,2400,977658,77719
96,bgfs-0096.jpg,IMG_20260223_133550.jpg,2026-02-23,"February 23, 2026",1802,2400,1188697,102457
97,bgfs-0097.jpg,IMG_20260223_123603.jpg,2026-02-23,"February 23, 2026",2400,1802,998831,91519
98,bgfs-0098.jpg,IMG_20260223_154612.jpg,2026-02-23,"February 23, 2026",2400,1802,751641,83023
99,bgfs-0099.jpg,IMG_20260223_130542.jpg,2026-02-23,"February 23, 2026",1802,2400,915497,80112
100,bgfs-0100.jpg,IMG_20260223_130540.jpg,2026-02-23,"February 23, 2026",1802,2400,921893,73955
101,bgfs-0101.jpg,IMG_20260223_123140.jpg,2026-02-23,"February 23, 2026",2400,1802,1416194,118610
102,bgfs-0102.jpg,IMG_20260223_131112.jpg,2026-02-23,"February 23, 2026",2400,1802,1024720,82768
103,bgfs-0103.jpg,IMG_20260218_163121.jpg,2026-02-18,"February 18, 2026",1802,2400,1176217,113435
104,bgfs-0104.jpg,IMG_20260218_063326.jpg,2026-02-18,"February 18, 2026",2400,1802,799744,73144
105,bgfs-0105.jpg,IMG_20260218_082521.jpg,2026-02-18,"February 18, 2026",1802,2400,831626,81436
106,bgfs-0106.jpg,IMG_20260218_063847.jpg,2026-02-18,"February 18, 2026",2400,1802,865328,77146
107,bgfs-0107.jpg,IMG_20260218_163207.jpg,2026-02-18,"February 18, 2026",2400,1800,861387,77912
108,bgfs-0108.jpg,IMG_20260218_163358.jpg,2026-02-18,"February 18, 2026",2400,1802,827662,69563
109,bgfs-0109.jpg,IMG_20260209_075454.jpg,2026-02-09,"February 9, 2026",2400,1802,1172502,108145
110,bgfs-0110.jpg,IMG_20260209_123340.jpg,2026-02-09,"February 9, 2026",2400,1802,514398,43750
111,bgfs-0111.jpg,IMG_20260209_075820.jpg,2026-02-09,"February 9, 2026",2400,1802,1397541,95567
112,bgfs-0112.jpg,IMG_20260209_073652.jpg,2026-02-09,"February 9, 2026",2400,1802,1312140,95007
113,bgfs-0113.jpg,IMG_20260209_075822.jpg,2026-02-09,"February 9, 2026",2400,1802,1389988,94948
114,bgfs-0114.jpg,IMG_20260209_072757.jpg,2026-02-09,"February 9, 2026",2400,1802,1528109,140836
115,bgfs-0115.jpg,IMG_20260209_072650.jpg,2026-02-09,"February 9, 2026",2400,1802,1576273,141643
116,bgfs-0116.jpg,IMG_20260208_134710.jpg,2026-02-08,"February 8, 2026",2400,1802,982338,90323
117,bgfs-0117.jpg,Screenshot_20260206-081158.jpg,2026-02-06,"February 6, 2026",2400,1080,357874,36929
118,bgfs-0118.jpg,IMG_20260204_135418.jpg,2026-02-04,"February 4, 2026",2400,1802,819047,76874
119,bgfs-0119.jpg,IMG_20260204_135252.jpg,2026-02-04,"February 4, 2026",2400,1802,663216,78844
120,bgfs-0120.jpg,IMG_20260204_131843.jpg,2026-02-04,"February 4, 2026",2400,1802,1085188,89794
121,bgfs-0121.jpg,IMG_20260131_084615.jpg,2026-01-31,"January 31, 2026",2400,1800,723303,64579
122,bgfs-0122.jpg,IMG_20260131_133312.jpg,2026-01-31,"January 31, 2026",2400,1802,1324086,102331
123,bgfs-0123.jpg,IMG_20260131_133416.jpg,2026-01-31,"January 31, 2026",2400,1802,1306681,117489
124,bgfs-0124.jpg,IMG_20260131_084517.jpg,2026-01-31,"January 31, 2026",2400,1802,1183971,113999
125,bgfs-0125.jpg,IMG_20260131_133449.jpg,2026-01-31,"January 31, 2026",2400,1802,1013062,91403
126,bgfs-0126.jpg,IMG_2399.heic,2026-01-27,"January 27, 2026",1800,2400,605504,51675
127,bgfs-0127.jpg,IMG_20260126_164848.jpg,2026-01-26,"January 26, 2026",2400,1802,706200,69531
128,bgfs-0128.jpg,IMG_20260124_072012.jpg,2026-01-24,"January 24, 2026",2400,1802,923964,75036
129,bgfs-0129.jpg,IMG_2348.heic,2026-01-23,"January 23, 2026",2400,1800,720483,77702
130,bgfs-0130.jpg,IMG_20260120_070049.jpg,2026-01-20,"January 20, 2026",1800,2400,548154,71842
131,bgfs-0131.jpg,IMG_20260120_071208.jpg,2026-01-20,"January 20, 2026",1802,2400,887493,127767
132,bgfs-0132.jpg,IMG_20260119_142339.jpg,2026-01-19,"January 19, 2026",2400,1802,1275165,107348
133,bgfs-0133.jpg,IMG_20260119_142356.jpg,2026-01-19,"January 19, 2026",1802,2400,1219874,126046
134,bgfs-0134.jpg,IMG_20260104_095919.jpg,2026-01-04,"January 4, 2026",2400,1802,1395896,116706
135,bgfs-0135.jpg,IMG_20260104_095916.jpg,2026-01-04,"January 4, 2026",2400,1802,1392894,115560
136,bgfs-0136.jpg,IMG_20251224_140501.jpg,2025-12-24,"December 24, 2025",2400,1802,1131041,104026
137,bgfs-0137.jpg,IMG_20251224_140241.jpg,2025-12-24,"December 24, 2025",1802,2400,952901,79695
138,bgfs-0138.jpg,IMG_20251224_133938.jpg,2025-12-24,"December 24, 2025",2400,1802,867755,68038
139,bgfs-0139.jpg,IMG_20251224_134209.jpg,2025-12-24,"December 24, 2025",1802,2400,932317,89450
140,bgfs-0140.jpg,IMG_20251224_135155.jpg,2025-12-24,"December 24, 2025",2400,1802,668662,65886
141,bgfs-0141.jpg,IMG_20251224_140503.jpg,2025-12-24,"December 24, 2025",2400,1802,987081,92940
142,bgfs-0142.jpg,IMG_20251224_135507.jpg,2025-12-24,"December 24, 2025",2400,1802,994932,74182
143,bgfs-0143.jpg,IMG_20251224_133854.jpg,2025-12-24,"December 24, 2025",2400,1802,593653,56494
144,bgfs-0144.jpg,IMG_20251224_135521.jpg,2025-12-24,"December 24, 2025",2400,1800,801026,70997
145,bgfs-0145.jpg,IMG_20251224_140716.jpg,2025-12-24,"December 24, 2025",2400,1802,1010574,81106
146,bgfs-0146.jpg,IMG_20251224_134148.jpg,2025-12-24,"December 24, 2025",1802,2400,769389,82207
147,bgfs-0147.jpg,IMG_20251224_135408.jpg,2025-12-24,"December 24, 2025",2400,1800,757038,68183
148,bgfs-0148.jpg,IMG_20251224_135510.jpg,2025-12-24,"December 24, 2025",2400,1802,665286,63696
149,bgfs-0149.jpg,IMG_20251224_140249.jpg,2025-12-24,"December 24, 2025",2400,1802,901598,84865
150,bgfs-0150.jpg,IMG_20251221_063709.jpg,2025-12-21,"December 21, 2025",2400,1800,721617,58715
151,bgfs-0151.jpg,IMG_20251221_064753.jpg,2025-12-21,"December 21, 2025",2400,1802,444806,47024
152,bgfs-0152.jpg,IMG_20251221_064800.jpg,2025-12-21,"December 21, 2025",2400,1800,492526,63456
153,bgfs-0153.jpg,IMG_20251218_100519.jpg,2025-12-18,"December 18, 2025",2400,1800,827184,71183
154,bgfs-0154.jpg,IMG_20251215_085855.jpg,2025-12-15,"December 15, 2025",1802,2400,772503,80503
155,bgfs-0155.jpg,IMG_20251215_084733.jpg,2025-12-15,"December 15, 2025",2400,1802,1253415,109647
156,bgfs-0156.jpg,IMG_20251212_065705.jpg,2025-12-12,"December 12, 2025",2400,1800,793181,75468
157,bgfs-0157.jpg,IMG_20251212_161039.jpg,2025-12-12,"December 12, 2025",2400,1800,787556,71325
158,bgfs-0158.jpg,IMG_20251212_160333.jpg,2025-12-12,"December 12, 2025",2400,1802,531550,55608
159,bgfs-0159.jpg,IMG_20251212_161027.jpg,2025-12-12,"December 12, 2025",2400,1800,739539,67605
